Mode,Dropout,Epoch,Ppl
train,0.0,1,508.25379576909495
validation,0.0,1,283.854128559511
train,0.0,2,185.4696769752266
validation,0.0,2,159.37307358364254
train,0.0,3,120.7682908785266
validation,0.0,3,135.22966843847078
train,0.0,4,88.3151649740524
validation,0.0,4,120.20253307380135
train,0.0,5,71.15702004949046
validation,0.0,5,112.70771897690942
train,0.0,6,59.317483744299956
validation,0.0,6,111.40143944549796
train,0.0,7,50.457816675426955
validation,0.0,7,115.02199125160644
train,0.0,8,36.59883198442717
validation,0.0,8,110.70146574975512
train,0.0,9,31.894003682028412
validation,0.0,9,113.84550620825019
train,0.0,10,28.527343382607324
validation,0.0,10,113.23208754398568
train,0.0,11,27.32660012641023
validation,0.0,11,112.54346308941913
train,0.0,12,26.90745531754494
validation,0.0,12,112.42961897398618
train,0.0,13,26.786575897927946
validation,0.0,13,112.41229670201854
train,0.0,14,26.75592772042697
validation,0.0,14,112.40857265297123
train,0.0,15,26.748247481097085
validation,0.0,15,112.40765021576455
train,0.0,16,26.746325820827366
validation,0.0,16,112.40743933409887
train,0.0,17,26.745840230316436
validation,0.0,17,112.40743509236887
train,0.0,18,26.745717415255793
validation,0.0,18,112.40742925999042
train,0.0,19,26.745692546231176
validation,0.0,19,112.40742925999042
train,0.0,20,26.745689676729814
validation,0.0,20,112.40743600819692
train,0.0,21,26.74568872022944
validation,0.0,21,112.40743094704199
train,0.0,22,26.74568852892936
validation,0.0,22,112.40742925999042
train,0.0,23,26.745688401395984
validation,0.0,23,112.40742588588726
train,0.0,24,26.745688911529513
validation,0.0,24,112.40742419883567
train,0.0,25,26.745689039062892
validation,0.0,25,112.40742419883567
train,0.0,26,26.7456889752962
validation,0.0,26,112.40742419883567
train,0.0,27,26.7456889752962
validation,0.0,27,112.40742419883567
train,0.0,28,26.7456889752962
validation,0.0,28,112.40742419883567
train,0.0,29,26.7456889752962
validation,0.0,29,112.40742419883567
train,0.0,30,26.7456889752962
validation,0.0,30,112.40742419883567
train,0.0,31,26.7456889752962
validation,0.0,31,112.40742419883567
train,0.0,32,26.7456889752962
validation,0.0,32,112.40742419883567
train,0.0,33,26.7456889752962
validation,0.0,33,112.40742419883567
train,0.0,34,26.7456889752962
validation,0.0,34,112.40742419883567
train,0.0,35,26.7456889752962
validation,0.0,35,112.40742419883567
train,0.0,36,26.7456889752962
validation,0.0,36,112.40742419883567
train,0.0,37,26.7456889752962
validation,0.0,37,112.40742419883567
train,0.0,38,26.7456889752962
validation,0.0,38,112.40742419883567
train,0.0,39,26.7456889752962
validation,0.0,39,112.40742419883567
train,0.0,40,26.7456889752962
validation,0.0,40,112.40742419883567
test,0.0,,112.92041565671366
